row_id,intent,twin_row_id,twin_intent,similarity
4812,check_invoice,15585,get_invoice,0.926
4079,check_invoice,15566,get_invoice,0.926
4242,check_invoice,15069,get_invoice,0.925
4509,check_invoice,15232,get_invoice,0.925
15069,get_invoice,4242,check_invoice,0.925
11690,delete_account,24434,switch_account,0.925
25875,track_refund,16029,get_refund,0.925
25995,track_refund,16029,get_refund,0.925
24434,switch_account,11690,delete_account,0.925
15232,get_invoice,4509,check_invoice,0.925
4330,check_invoice,15297,get_invoice,0.924
4724,check_invoice,15336,get_invoice,0.924
15336,get_invoice,4724,check_invoice,0.924
15297,get_invoice,4330,check_invoice,0.924
15019,get_invoice,4001,check_invoice,0.923
25892,track_refund,15945,get_refund,0.922
15133,get_invoice,4105,check_invoice,0.922
15201,get_invoice,4057,check_invoice,0.922
4631,check_invoice,15018,get_invoice,0.922
4105,check_invoice,15133,get_invoice,0.922
4057,check_invoice,15201,get_invoice,0.922
4300,check_invoice,15698,get_invoice,0.922
15945,get_refund,25892,track_refund,0.922
15685,get_invoice,4616,check_invoice,0.922
26078,track_refund,15945,get_refund,0.922
15698,get_invoice,4300,check_invoice,0.922
4882,check_invoice,14901,get_invoice,0.921
14152,edit_account,23941,switch_account,0.92
26135,track_refund,16029,get_refund,0.92
23941,switch_account,14152,edit_account,0.92
14964,get_invoice,4330,check_invoice,0.92
15264,get_invoice,4228,check_invoice,0.92
4228,check_invoice,15264,get_invoice,0.92
4471,check_invoice,15403,get_invoice,0.919
15635,get_invoice,4055,check_invoice,0.918
15876,get_invoice,4673,check_invoice,0.918
4438,check_invoice,15698,get_invoice,0.918
4777,check_invoice,15322,get_invoice,0.918
4673,check_invoice,15876,get_invoice,0.918
4055,check_invoice,15635,get_invoice,0.918
4893,check_invoice,15264,get_invoice,0.918
15322,get_invoice,4777,check_invoice,0.918
3956,check_invoice,15200,get_invoice,0.917
4654,check_invoice,14988,get_invoice,0.917
15541,get_invoice,4833,check_invoice,0.917
25973,track_refund,15945,get_refund,0.917
15116,get_invoice,4297,check_invoice,0.917
15275,get_invoice,4907,check_invoice,0.917
25884,track_refund,15945,get_refund,0.917
15013,get_invoice,4680,check_invoice,0.917
4907,check_invoice,15275,get_invoice,0.917
4374,check_invoice,15018,get_invoice,0.917
4833,check_invoice,15541,get_invoice,0.917
10183,create_account,23890,switch_account,0.916
15806,get_invoice,4668,check_invoice,0.916
4668,check_invoice,15806,get_invoice,0.916
23890,switch_account,10183,create_account,0.916
15214,get_invoice,3950,check_invoice,0.915
13990,edit_account,24621,switch_account,0.915
4713,check_invoice,15036,get_invoice,0.915
4627,check_invoice,14959,get_invoice,0.915
4029,check_invoice,15275,get_invoice,0.915
3950,check_invoice,15214,get_invoice,0.915
24054,switch_account,10183,create_account,0.915
24621,switch_account,13990,edit_account,0.915
15036,get_invoice,4713,check_invoice,0.915
3990,check_invoice,15185,get_invoice,0.914
15578,get_invoice,4309,check_invoice,0.914
15579,get_invoice,4870,check_invoice,0.914
4555,check_invoice,15755,get_invoice,0.914
4309,check_invoice,15578,get_invoice,0.914
4870,check_invoice,15579,get_invoice,0.914
4651,check_invoice,15756,get_invoice,0.913
4665,check_invoice,15130,get_invoice,0.913
15130,get_invoice,4665,check_invoice,0.913
4075,check_invoice,15539,get_invoice,0.913
4670,check_invoice,15222,get_invoice,0.913
15539,get_invoice,4075,check_invoice,0.913
23894,switch_account,10183,create_account,0.913
15222,get_invoice,4670,check_invoice,0.913
15756,get_invoice,4651,check_invoice,0.913
4862,check_invoice,15721,get_invoice,0.912
15721,get_invoice,4862,check_invoice,0.912
15826,get_invoice,4079,check_invoice,0.912
15367,get_invoice,4631,check_invoice,0.912
15359,get_invoice,4275,check_invoice,0.911
14919,get_invoice,4772,check_invoice,0.911
4418,check_invoice,14959,get_invoice,0.911
4772,check_invoice,14919,get_invoice,0.911
4275,check_invoice,15359,get_invoice,0.911
4826,check_invoice,15132,get_invoice,0.91
15132,get_invoice,4826,check_invoice,0.91
15430,get_invoice,4460,check_invoice,0.909
24365,switch_account,14152,edit_account,0.909
24771,switch_account,14401,edit_account,0.908
14401,edit_account,24771,switch_account,0.908
4205,check_invoice,15806,get_invoice,0.908
15528,get_invoice,4868,check_invoice,0.907
15144,get_invoice,4616,check_invoice,0.907
15102,get_invoice,4826,check_invoice,0.907
14702,edit_account,23888,switch_account,0.907
23888,switch_account,14702,edit_account,0.907
15298,get_invoice,4382,check_invoice,0.907
15376,get_invoice,4423,check_invoice,0.906
4147,check_invoice,15806,get_invoice,0.906
4423,check_invoice,15376,get_invoice,0.906
3963,check_invoice,15264,get_invoice,0.905
24069,switch_account,13918,edit_account,0.905
26257,track_refund,16028,get_refund,0.905
15527,get_invoice,4111,check_invoice,0.905
4111,check_invoice,15527,get_invoice,0.905
4106,check_invoice,14904,get_invoice,0.904
4184,check_invoice,15576,get_invoice,0.904
4759,check_invoice,14959,get_invoice,0.904
15556,get_invoice,4079,check_invoice,0.904
14904,get_invoice,4106,check_invoice,0.904
14001,edit_account,23946,switch_account,0.904
15576,get_invoice,4184,check_invoice,0.904
14668,edit_account,23899,switch_account,0.903
4452,check_invoice,15036,get_invoice,0.903
4331,check_invoice,15018,get_invoice,0.903
4123,check_invoice,14988,get_invoice,0.903
15265,get_invoice,4317,check_invoice,0.903
23899,switch_account,14668,edit_account,0.903
10399,create_account,23894,switch_account,0.903
26023,track_refund,16028,get_refund,0.902
25966,track_refund,16103,get_refund,0.902
14951,get_invoice,4826,check_invoice,0.902
15482,get_invoice,4833,check_invoice,0.902
15619,get_invoice,4555,check_invoice,0.902
4144,check_invoice,15326,get_invoice,0.901
15326,get_invoice,4144,check_invoice,0.901
4888,check_invoice,15736,get_invoice,0.901
4874,check_invoice,15163,get_invoice,0.901
14629,edit_account,24289,switch_account,0.901
15163,get_invoice,4874,check_invoice,0.901
15736,get_invoice,4888,check_invoice,0.901
24289,switch_account,14629,edit_account,0.901
